y_true,y_score
0,0.104256
1,0.174920
0,0.001532
0,0.000578
0,0.000219
0,0.000240
1,0.188658
0,0.036260
0,0.000006
0,0.250230
0,0.001882
0,0.097457
0,0.000744
1,0.961084
1,0.988403
0,0.000261
1,0.985634
1,0.657465
1,0.902709
0,0.001237
0,0.029838
0,0.007053
0,0.000177
1,0.205334
1,0.999902
0,0.000001
0,0.865996
1,0.998265
0,0.998585
0,0.023139
0,0.001784
0,0.130013
0,0.031471
0,0.000006
0,0.000036
1,0.721494
0,0.002170
0,0.018124
1,0.988262
0,0.449340
0,0.001390
0,0.000173
0,0.000118
1,0.999985
0,0.002385
0,0.001882
0,0.094601
1,0.223709
1,0.999133
0,0.372186
0,0.611607
1,0.988288
1,0.999599
0,0.026204
1,0.999998
0,0.311647
0,0.627066
0,0.003545
0,0.154679
1,0.997562
1,0.999909
1,0.999476
0,0.040882
1,0.941834
1,0.977310
0,0.000995
0,0.012307
1,0.969026
1,0.995347
0,0.001792
1,0.980890
0,0.006927
1,0.989612
1,0.973840
0,0.013065
1,0.933926
1,0.999775
1,0.322790
0,0.002364
0,0.000250
1,0.999275
0,0.242837
1,0.129779
0,0.014440
1,0.999975
1,0.858900
1,0.999436
1,0.356775
1,0.979612
1,0.025642
0,0.004874
1,0.028377
0,0.000010
1,0.998511
0,0.014601
1,0.931933
1,0.999967
1,0.871216
0,0.002993
1,0.906263
1,0.997307
0,0.918769
1,0.998941
1,0.787787
0,0.271375
1,0.073508
1,0.998540
1,0.403427
1,0.999983
1,0.996989
0,0.001951
0,0.244687
1,0.973184
0,0.000034
1,0.648644
0,0.105462
1,0.815297
1,0.884490
1,0.163408
0,0.108392
1,0.994550
0,0.000194
0,0.225572
1,0.999430
1,0.991679
0,0.728765
1,0.738361
0,0.000050
0,0.080324
0,0.012874
0,0.476946
0,0.011794
0,0.328533
0,0.000324
0,0.005623
1,0.936513
0,0.033194
1,0.498705
1,0.986753
0,0.014829
0,0.005120
0,0.139918
1,0.996496
0,0.851081
1,0.998690
0,0.000097
0,0.014725
1,0.570788
1,0.988939
0,0.000003
1,0.994211
0,0.000039
1,0.348182
0,0.054650
0,0.000037
1,0.999798
0,0.000288
1,0.999979
1,0.999956
0,0.000010
1,0.998166
0,0.154773
0,0.471500
0,0.191496
0,0.949435
1,0.540278
0,0.001069
0,0.000001
1,0.996927
0,0.010680
0,0.000001
0,0.000769
0,0.929664
0,0.000288
0,0.686615
0,0.000159
1,0.999982
1,0.851196
0,0.176476
1,0.988969
0,0.001574
1,0.998676
1,0.992044
1,0.997960
0,0.100007
1,0.934872
0,0.000091
0,0.000068
1,0.999839
1,0.997319
0,0.005523
0,0.000001
0,0.000316
1,0.999667
1,0.992715
1,0.999807
0,0.044291
1,0.105528
1,0.542133
0,0.187222
0,0.000474
1,0.999821
1,0.968628
1,0.978809
0,0.003072
1,0.132368
1,0.994587
0,0.000091
0,0.000978
0,0.000006
0,0.073374
0,0.012863
1,0.179469
0,0.513216
0,0.000271
1,0.988614
1,0.990999
1,0.993657
0,0.447826
0,0.006622
1,0.999986
1,0.983670
1,0.920363
1,0.968232
0,0.000394
1,0.999997
0,0.041693
1,0.999933
0,0.028784
0,0.001351
1,0.998592
1,0.984180
0,0.000764
0,0.017223
1,0.987510
1,0.903391
0,0.000020
0,0.000264
0,0.000061
0,0.030401
0,0.005978
0,0.003650
1,0.938727
0,0.004908
1,0.999986
0,0.012266
0,0.000004
1,0.689530
1,0.535121
1,0.514347
0,0.007671
0,0.230473
1,0.151487
1,0.999978
0,0.000340
1,0.666999
0,0.000817
1,0.967192
1,0.772576
0,0.075133
0,0.062271
0,0.000333
1,0.731535
0,0.029445
1,0.991655
0,0.011127
1,0.999691
0,0.043391
0,0.264815
1,0.998510
0,0.005372
1,0.096063
0,0.956037
1,0.800597
1,0.289741
0,0.308247
0,0.001167
0,0.001230
0,0.000428
1,0.999963
1,0.999993
0,0.000044
1,0.916547
1,0.977413
1,0.999202
0,0.000126
0,0.000005
1,0.887166
0,0.000001
1,0.085850
1,0.531534
0,0.010629
0,0.001949
0,0.049650
1,0.989782
1,0.993746
0,0.052241
0,0.937484
0,0.402292
0,0.719117
1,0.904789
0,0.018201
1,0.762734
1,0.999989
1,0.999993
1,0.977407
0,0.026077
0,0.000280
0,0.060991
1,0.999698
1,0.973067
0,0.648035
0,0.000028
0,0.000012
1,0.685119
1,0.189532
0,0.198259
0,0.000052
1,0.409245
0,0.981537
0,0.001673
1,0.999666
